start_time,end_time,num_points
0.0,4.9,50
5.0,5.4,5
5.5,6.4,10
6.5,7.9,15
8.0,8.4,5
8.5,10.4,20
10.5,10.9,5
11.0,14.9,40
15.0,16.400000000000002,15
16.5,17.400000000000002,10
17.5,18.9,15
19.0,19.9,10
20.0,20.4,5
20.5,20.9,5
21.0,21.9,10
22.0,22.4,5
22.5,22.9,5
23.0,24.4,15
24.5,25.4,10
25.5,26.4,10
26.5,26.9,5
27.0,29.4,25
29.5,29.9,5
30.0,31.4,15
31.5,35.4,40
35.5,35.9,5
36.0,38.400000000000006,25
38.5,39.400000000000006,10
39.5,43.400000000000006,40
43.5,43.900000000000006,5
44.0,45.900000000000006,20
46.0,46.900000000000006,10
47.0,47.900000000000006,10
48.0,48.900000000000006,10
49.0,50.900000000000006,20
51.0,51.900000000000006,10
52.0,53.900000000000006,20
54.0,54.400000000000006,5
54.5,54.900000000000006,5
55.0,55.400000000000006,5
55.5,58.400000000000006,30
58.5,58.900000000000006,5
59.0,59.400000000000006,5
59.5,60.400000000000006,10
60.5,62.900000000000006,25
63.0,63.400000000000006,5
63.5,66.9,35
67.0,67.9,10
68.0,69.4,15
69.5,70.4,10
70.5,74.4,40
74.5,74.9,5
75.0,75.9,10
76.0,77.4,15
77.5,77.9,5
78.0,80.9,30
81.0,81.9,10
82.0,84.4,25
84.5,85.4,10
85.5,87.4,20
87.5,87.9,5
88.0,89.4,15
89.5,90.4,10
90.5,90.9,5
91.0,92.4,15
92.5,92.9,5
93.0,93.4,5
93.5,96.4,30
96.5,97.4,10
97.5,98.4,10
98.5,98.9,5
99.0,100.9,20
101.0,102.4,15
102.5,105.4,30
105.5,105.9,5
106.0,107.4,15
107.5,107.9,5
108.0,114.9,70
115.0,115.4,5
115.5,117.4,20
117.5,118.4,10
118.5,123.9,55
124.0,125.4,15
125.5,125.9,5
126.0,126.4,5
126.5,127.4,10
127.5,128.4,10
128.5,129.4,10
129.5,129.9,5
130.0,132.4,25
132.5,133.4,10
133.5,133.9,5
134.0,134.4,5
134.5,135.9,15
136.0,136.4,5
136.5,137.9,15
138.0,138.4,5
138.5,138.9,5
139.0,139.4,5
139.5,139.9,5
140.0,140.4,5
140.5,141.4,10
141.5,142.4,10
142.5,142.9,5
143.0,143.4,5
143.5,144.4,10
144.5,144.9,5
145.0,145.9,10
146.0,150.4,45
150.5,151.9,15
152.0,152.9,10
153.0,157.9,50
158.0,158.4,5
158.5,164.9,65
165.0,167.4,25
167.5,168.9,15
169.0,172.4,35
172.5,173.4,10
173.5,175.4,20
175.5,175.9,5
176.0,180.9,50
181.0,182.4,15
182.5,182.9,5
183.0,184.4,15
184.5,185.4,10
185.5,186.9,15
187.0,187.9,10
188.0,188.9,10
189.0,191.9,30
192.0,192.4,5
192.5,193.4,10
193.5,194.9,15
195.0,198.4,35
198.5,199.9,15
200.0,200.9,10
201.0,201.9,10
202.0,202.9,10
