start_time,end_time,goal_status,num_points
0.0,0.2,collision detected,3
0.3,4.3,moving to station 8,41
4.4,5.1000000000000005,stopped (unknown),8
5.2,5.800000000000001,moving to station 8,7
5.9,6.9,stopped (unknown),11
7.0,9.9,moving to station 8,30
10.0,11.2,stopped (unknown),13
11.3,12.6,moving to station 8,14
12.7,13.6,stopped (unknown),10
13.7,14.1,moving to station 8,5
14.2,15.1,stopped (unknown),10
15.2,17.7,moving to station 8,26
17.8,19.200000000000003,stopped (unknown),15
19.3,19.4,moving to station 8,2
19.5,20.5,stopped (unknown),11
20.6,22.3,moving to station 8,18
22.4,23.700000000000003,stopped (unknown),14
23.8,27.0,moving to station 8,33
27.1,28.5,stopped (unknown),15
28.6,28.700000000000003,moving to station 8,2
28.8,30.4,stopped (unknown),17
30.5,31.9,moving to station 8,15
32.0,33.9,stopped (unknown),20
34.0,35.9,moving to station 8,20
36.0,37.7,stopped (unknown),18
37.8,40.0,moving to station 8,23
40.1,41.900000000000006,stopped (unknown),19
42.0,50.400000000000006,moving to station 8,85
50.5,52.3,stopped (unknown),19
52.400000000000006,52.7,moving to station 8,4
52.8,54.3,stopped (unknown),16
54.400000000000006,55.7,moving to station 8,14
55.8,56.6,stopped (unknown),9
56.7,59.400000000000006,moving to station 8,28
59.5,61.0,stopped (unknown),16
61.1,65.8,moving to station 8,48
65.9,65.9,stopped at station 8,1
66.0,66.2,moving to station 7,3
66.3,67.5,stopped (unknown),13
67.60000000000001,71.10000000000001,moving to station 7,36
71.2,72.4,stopped (unknown),13
72.5,72.60000000000001,moving to station 7,2
72.7,75.0,stopped (unknown),24
75.10000000000001,75.7,moving to station 7,7
75.8,77.4,stopped (unknown),17
77.5,79.10000000000001,moving to station 7,17
79.2,80.60000000000001,stopped (unknown),15
80.7,82.30000000000001,moving to station 7,17
82.4,83.0,stopped (unknown),7
83.10000000000001,84.60000000000001,moving to station 7,16
84.7,86.60000000000001,stopped (unknown),20
86.7,87.30000000000001,moving to station 7,7
87.4,89.30000000000001,stopped (unknown),20
89.4,89.80000000000001,moving to station 7,5
89.9,91.4,stopped (unknown),16
91.5,92.4,moving to station 7,10
92.5,94.3,stopped (unknown),19
94.4,96.1,moving to station 7,18
96.2,97.7,stopped (unknown),16
97.8,97.8,moving to station 7,1
97.9,99.2,stopped (unknown),14
99.3,99.8,moving to station 7,6
99.9,101.5,stopped (unknown),17
101.6,105.3,moving to station 7,38
105.4,106.4,stopped (unknown),11
106.5,106.8,moving to station 7,4
106.9,108.4,stopped (unknown),16
108.5,116.1,moving to station 7,77
116.2,117.6,stopped (unknown),15
117.7,120.5,moving to station 7,29
120.6,121.8,stopped (unknown),13
121.9,122.1,moving to station 7,3
122.2,123.1,stopped (unknown),10
123.2,124.0,moving to station 7,9
124.1,125.3,stopped (unknown),13
125.4,126.1,moving to station 7,8
126.2,127.5,stopped (unknown),14
127.6,128.8,moving to station 7,13
128.9,129.5,stopped (unknown),7
129.6,130.70000000000002,moving to station 7,12
130.8,132.6,stopped (unknown),19
132.70000000000002,134.20000000000002,moving to station 7,16
134.3,135.6,stopped (unknown),14
135.70000000000002,136.4,moving to station 7,8
136.5,137.3,stopped (unknown),9
137.4,138.4,moving to station 7,11
138.5,139.6,stopped (unknown),12
139.70000000000002,140.3,moving to station 7,7
140.4,142.1,stopped (unknown),18
142.20000000000002,142.20000000000002,moving to station 7,1
142.3,144.20000000000002,stopped (unknown),20
144.3,144.3,moving to station 7,1
144.4,145.0,stopped (unknown),7
145.1,145.3,moving to station 7,3
145.4,145.9,stopped (unknown),6
146.0,146.4,moving to station 7,5
146.5,148.3,stopped (unknown),19
148.4,148.9,moving to station 7,6
149.0,149.0,stopped at station 7,1
149.1,150.0,moving to station 9,10
150.1,151.70000000000002,stopped (unknown),17
151.8,151.8,moving to station 9,1
151.9,152.6,stopped (unknown),8
152.70000000000002,157.10000000000002,moving to station 9,45
157.20000000000002,158.3,stopped (unknown),12
158.4,162.4,moving to station 9,41
162.5,163.9,stopped (unknown),15
164.0,165.10000000000002,moving to station 9,12
165.20000000000002,165.20000000000002,collision detected,1
165.3,169.9,moving to station 7,47
170.0,171.9,stopped (unknown),20
172.0,173.70000000000002,moving to station 7,18
173.8,174.9,stopped (unknown),12
175.0,177.0,moving to station 7,21
177.10000000000002,178.0,stopped (unknown),10
178.10000000000002,180.5,moving to station 7,25
180.6,180.6,stopped at station 7,1
180.7,181.4,moving to station 9,8
181.5,182.6,stopped (unknown),12
182.7,183.3,moving to station 9,7
183.4,184.3,stopped (unknown),10
184.4,184.4,moving to station 9,1
184.5,185.1,stopped (unknown),7
185.2,190.6,moving to station 9,55
190.7,191.5,stopped (unknown),9
191.6,192.6,moving to station 9,11
192.7,193.9,stopped (unknown),13
194.0,196.0,moving to station 9,21
196.1,197.4,stopped (unknown),14
197.5,197.9,moving to station 9,5
198.0,198.0,stopped at station 9,1
198.1,200.5,moving to station 5,25
200.6,201.6,stopped (unknown),11
201.7,203.3,moving to station 5,17
203.4,205.3,stopped (unknown),20
205.4,207.2,moving to station 5,19
207.3,207.8,stopped (unknown),6
207.9,208.6,moving to station 5,8
208.7,209.6,stopped (unknown),10
209.7,210.6,moving to station 5,10
210.7,212.0,stopped (unknown),14
212.1,213.9,moving to station 5,19
